,Match_Id,Team_Id,Opponent_Team_Id,Toss_Won,Bat_First,Win_Percenetage,Opponent_Win_Percentage,Win_Percenetage_Against,Toss_Decision_Win_Percentage,Bat_Decision_Win_Percentage,Match_Won
0,335987,2,,1,0,49.59349593495935,51.282051282051285,50.0,52.72727272727273,57.69230769230769,0
1,335987,1,,0,1,51.282051282051285,49.59349593495935,50.0,46.03174603174603,45.45454545454545,1
2,335988,4,,0,0,49.166666666666664,60.30534351145038,41.1764705882353,55.172413793103445,57.377049180327866,0
3,335988,3,,1,1,60.30534351145038,49.166666666666664,58.8235294117647,63.63636363636363,58.44155844155844,1
4,335989,6,,0,0,41.1764705882353,53.389830508474574,37.5,58.92857142857143,68.62745098039215,0
5,335989,5,,1,1,53.389830508474574,41.1764705882353,62.5,53.96825396825397,46.2962962962963,1
6,335990,7,,1,1,57.93650793650794,49.59349593495935,52.94117647058823,55.38461538461539,59.42028985507246,0
7,335990,2,,0,0,49.59349593495935,57.93650793650794,47.05882352941177,47.27272727272727,57.69230769230769,1
8,335991,1,,0,0,51.282051282051285,38.666666666666664,77.77777777777777,46.03174603174603,54.54545454545455,0
9,335991,8,,1,1,38.666666666666664,51.282051282051285,22.22222222222223,44.18604651162791,41.86046511627907,1
10,335992,5,,0,0,53.389830508474574,49.166666666666664,60.0,46.03174603174603,53.7037037037037,0
11,335992,4,,1,1,49.166666666666664,53.389830508474574,40.0,44.827586206896555,42.622950819672134,1
12,335993,8,,1,1,38.666666666666664,41.1764705882353,36.36363636363637,44.18604651162791,41.86046511627907,0
13,335993,6,,0,0,41.1764705882353,38.666666666666664,63.63636363636363,58.92857142857143,68.62745098039215,1
14,335994,3,,0,1,60.30534351145038,57.93650793650794,45.45454545454545,36.36363636363637,58.44155844155844,0
15,335994,7,,1,0,57.93650793650794,60.30534351145038,54.54545454545455,55.38461538461539,40.57971014492754,1
16,335995,8,,0,1,38.666666666666664,53.389830508474574,22.22222222222222,55.81395348837209,41.86046511627907,0
17,335995,5,,1,0,53.389830508474574,38.666666666666664,77.77777777777777,53.96825396825397,53.7037037037037,1
18,335996,4,,0,1,49.166666666666664,57.93650793650794,50.0,55.172413793103445,42.622950819672134,0
19,335996,7,,1,0,57.93650793650794,49.166666666666664,50.0,55.38461538461539,40.57971014492754,1
20,335997,2,,0,1,49.59349593495935,53.389830508474574,50.0,47.27272727272727,42.30769230769231,0
21,335997,5,,1,0,53.389830508474574,49.59349593495935,50.0,53.96825396825397,53.7037037037037,1
22,335998,3,,0,0,60.30534351145038,51.282051282051285,62.5,36.36363636363637,41.55844155844156,0
23,335998,1,,1,1,51.282051282051285,60.30534351145038,37.5,53.96825396825397,45.45454545454545,1
24,335999,7,,0,1,57.93650793650794,38.666666666666664,60.0,44.61538461538461,59.42028985507246,0
25,335999,8,,1,0,38.666666666666664,57.93650793650794,40.0,44.18604651162791,58.13953488372093,1
26,336000,4,,0,0,49.166666666666664,41.1764705882353,56.25,55.172413793103445,57.377049180327866,0
27,336000,6,,1,1,41.1764705882353,49.166666666666664,43.75,41.07142857142857,31.372549019607842,1
28,336001,2,,0,0,49.59349593495935,60.30534351145038,36.8421052631579,47.27272727272727,57.69230769230769,0
29,336001,3,,1,1,60.30534351145038,49.59349593495935,63.1578947368421,63.63636363636363,58.44155844155844,1
30,336002,1,,1,1,51.282051282051285,57.93650793650794,31.25,53.96825396825397,45.45454545454545,0
31,336002,7,,0,0,57.93650793650794,51.282051282051285,68.75,44.61538461538461,40.57971014492754,1
32,336003,6,,0,1,41.1764705882353,49.59349593495935,33.333333333333336,58.92857142857143,31.372549019607842,0
33,336003,2,,1,0,49.59349593495935,41.1764705882353,66.66666666666666,52.72727272727273,57.69230769230769,1
34,336004,8,,0,1,38.666666666666664,49.166666666666664,30.0,55.81395348837209,41.86046511627907,0
35,336004,4,,1,0,49.166666666666664,38.666666666666664,70.0,44.827586206896555,57.377049180327866,1
36,336005,5,,1,1,53.389830508474574,51.282051282051285,60.0,53.96825396825397,46.2962962962963,0
37,336005,1,,0,0,51.282051282051285,53.389830508474574,40.0,46.03174603174603,54.54545454545455,1
38,336006,3,,1,1,60.30534351145038,41.1764705882353,68.75,63.63636363636363,58.44155844155844,0
39,336006,6,,0,0,41.1764705882353,60.30534351145038,31.25,58.92857142857143,68.62745098039215,1
40,336007,8,,1,1,38.666666666666664,49.59349593495935,54.54545454545455,44.18604651162791,41.86046511627907,0
41,336007,2,,0,0,49.59349593495935,38.666666666666664,45.45454545454545,47.27272727272727,57.69230769230769,1
42,336008,4,,1,1,49.166666666666664,51.282051282051285,35.294117647058826,44.827586206896555,42.622950819672134,0
43,336008,1,,0,0,51.282051282051285,49.166666666666664,64.70588235294117,46.03174603174603,54.54545454545455,1
44,336009,7,,0,1,57.93650793650794,41.1764705882353,50.0,44.61538461538461,59.42028985507246,0
45,336009,6,,1,0,41.1764705882353,57.93650793650794,50.0,41.07142857142857,68.62745098039215,1
46,336010,5,,0,0,53.389830508474574,60.30534351145038,35.294117647058826,46.03174603174603,53.7037037037037,0
47,336010,3,,1,1,60.30534351145038,53.389830508474574,64.70588235294117,63.63636363636363,58.44155844155844,1
48,336011,2,,0,1,49.59349593495935,49.166666666666664,37.5,47.27272727272727,42.30769230769231,0
49,336011,4,,1,0,49.166666666666664,49.59349593495935,62.5,44.827586206896555,57.377049180327866,1
50,336012,3,,0,1,60.30534351145038,38.666666666666664,60.0,36.36363636363637,58.44155844155844,0
51,336012,8,,1,0,38.666666666666664,60.30534351145038,40.0,44.18604651162791,58.13953488372093,1
52,336013,7,,1,0,57.93650793650794,53.389830508474574,62.5,55.38461538461539,40.57971014492754,0
53,336013,5,,0,1,53.389830508474574,57.93650793650794,37.5,46.03174603174603,46.2962962962963,1
54,336014,6,,0,1,41.1764705882353,60.30534351145038,31.25,58.92857142857143,31.372549019607842,0
55,336014,3,,1,0,60.30534351145038,41.1764705882353,68.75,63.63636363636363,41.55844155844156,1
56,336015,1,,1,1,51.282051282051285,49.59349593495935,50.0,53.96825396825397,45.45454545454545,0
57,336015,2,,0,0,49.59349593495935,51.282051282051285,50.0,47.27272727272727,57.69230769230769,1
58,336016,5,,1,0,53.389830508474574,38.666666666666664,77.77777777777777,53.96825396825397,53.7037037037037,0
59,336016,8,,0,1,38.666666666666664,53.389830508474574,22.22222222222223,55.81395348837209,41.86046511627907,1
60,336017,2,,0,1,49.59349593495935,57.93650793650794,47.05882352941177,47.27272727272727,42.30769230769231,0
61,336017,7,,1,0,57.93650793650794,49.59349593495935,52.94117647058823,55.38461538461539,40.57971014492754,1
62,336018,3,,0,1,60.30534351145038,49.166666666666664,58.8235294117647,36.36363636363637,58.44155844155844,0
63,336018,4,,1,0,49.166666666666664,60.30534351145038,41.1764705882353,44.827586206896555,57.377049180327866,1
64,336019,8,,0,0,38.666666666666664,51.282051282051285,22.22222222222222,55.81395348837209,58.13953488372093,0
65,336019,1,,1,1,51.282051282051285,38.666666666666664,77.77777777777777,53.96825396825397,45.45454545454545,1
66,336020,5,,1,0,53.389830508474574,41.1764705882353,62.5,53.96825396825397,53.7037037037037,0
67,336020,6,,0,1,41.1764705882353,53.389830508474574,37.5,58.92857142857143,31.372549019607842,1
68,336021,4,,0,0,49.166666666666664,49.59349593495935,62.5,55.172413793103445,57.377049180327866,0
69,336021,2,,1,1,49.59349593495935,49.166666666666664,37.5,52.72727272727273,42.30769230769231,1
70,336022,1,,1,1,51.282051282051285,41.1764705882353,60.0,53.96825396825397,45.45454545454545,0
71,336022,6,,0,0,41.1764705882353,51.282051282051285,40.0,58.92857142857143,68.62745098039215,1
72,336023,7,,1,0,57.93650793650794,60.30534351145038,54.54545454545455,55.38461538461539,40.57971014492754,0
73,336023,3,,0,1,60.30534351145038,57.93650793650794,45.45454545454545,36.36363636363637,58.44155844155844,1
74,336024,4,,0,1,49.166666666666664,53.389830508474574,40.0,55.172413793103445,42.622950819672134,0
75,336024,5,,1,0,53.389830508474574,49.166666666666664,60.0,53.96825396825397,53.7037037037037,1
76,336025,6,,0,1,41.1764705882353,38.666666666666664,63.63636363636363,58.92857142857143,31.372549019607842,0
77,336025,8,,1,0,38.666666666666664,41.1764705882353,36.36363636363637,44.18604651162791,58.13953488372093,1
78,336026,7,,1,0,57.93650793650794,51.282051282051285,68.75,55.38461538461539,40.57971014492754,0
79,336026,1,,0,1,51.282051282051285,57.93650793650794,31.25,46.03174603174603,45.45454545454545,1
80,336027,6,,1,1,41.1764705882353,49.166666666666664,43.75,41.07142857142857,31.372549019607842,0
81,336027,4,,0,0,49.166666666666664,41.1764705882353,56.25,55.172413793103445,57.377049180327866,1
82,336028,5,,0,1,53.389830508474574,49.59349593495935,43.75,46.03174603174603,46.2962962962963,0
83,336028,2,,1,0,49.59349593495935,53.389830508474574,56.25,52.72727272727273,57.69230769230769,1
84,336029,8,,1,0,38.666666666666664,57.93650793650794,40.0,44.18604651162791,58.13953488372093,0
85,336029,7,,0,1,57.93650793650794,38.666666666666664,60.0,44.61538461538461,59.42028985507246,1
86,336030,1,,1,1,51.282051282051285,60.30534351145038,37.5,53.96825396825397,45.45454545454545,0
87,336030,3,,0,0,60.30534351145038,51.282051282051285,62.5,36.36363636363637,41.55844155844156,1
88,336031,2,,0,1,49.59349593495935,41.1764705882353,60.0,47.27272727272727,42.30769230769231,0
89,336031,6,,1,0,41.1764705882353,49.59349593495935,40.0,41.07142857142857,68.62745098039215,1
90,336032,1,,0,1,51.282051282051285,53.389830508474574,40.0,46.03174603174603,45.45454545454545,0
91,336032,5,,1,0,53.389830508474574,51.282051282051285,60.0,53.96825396825397,53.7037037037037,1
92,336033,7,,1,0,57.93650793650794,49.166666666666664,50.0,55.38461538461539,40.57971014492754,0
93,336033,4,,0,1,49.166666666666664,57.93650793650794,50.0,55.172413793103445,42.622950819672134,1
94,336034,3,,0,0,60.30534351145038,49.59349593495935,63.1578947368421,36.36363636363637,41.55844155844156,0
95,336034,2,,1,1,49.59349593495935,60.30534351145038,36.8421052631579,52.72727272727273,42.30769230769231,1
96,336036,4,,1,0,49.166666666666664,38.666666666666664,70.0,44.827586206896555,57.377049180327866,0
97,336036,8,,0,1,38.666666666666664,49.166666666666664,30.0,55.81395348837209,41.86046511627907,1
98,336037,6,,1,0,41.1764705882353,57.93650793650794,50.0,41.07142857142857,68.62745098039215,0
99,336037,7,,0,1,57.93650793650794,41.1764705882353,50.0,44.61538461538461,59.42028985507246,1
100,336038,3,,0,0,60.30534351145038,53.389830508474574,64.70588235294117,36.36363636363637,41.55844155844156,0
101,336038,5,,1,1,53.389830508474574,60.30534351145038,35.294117647058826,53.96825396825397,46.2962962962963,1
102,336039,2,,0,1,49.59349593495935,38.666666666666664,45.45454545454545,47.27272727272727,42.30769230769231,0
103,336039,8,,1,0,38.666666666666664,49.59349593495935,54.54545454545455,44.18604651162791,58.13953488372093,1
104,336040,1,,0,0,51.282051282051285,49.166666666666664,64.70588235294117,46.03174603174603,54.54545454545455,0
105,336040,4,,1,1,49.166666666666664,51.282051282051285,35.294117647058826,44.827586206896555,42.622950819672134,1
106,336041,5,,1,0,53.389830508474574,57.93650793650794,37.5,53.96825396825397,53.7037037037037,0
107,336041,7,,0,1,57.93650793650794,53.389830508474574,62.5,44.61538461538461,59.42028985507246,1
108,336042,8,,1,1,38.666666666666664,60.30534351145038,40.0,44.18604651162791,41.86046511627907,0
109,336042,3,,0,0,60.30534351145038,38.666666666666664,60.0,36.36363636363637,41.55844155844156,1
110,336043,6,,1,0,41.1764705882353,53.389830508474574,37.5,41.07142857142857,68.62745098039215,0
111,336043,5,,0,1,53.389830508474574,41.1764705882353,62.5,46.03174603174603,46.2962962962963,1
112,336044,3,,0,0,60.30534351145038,49.166666666666664,58.8235294117647,36.36363636363637,41.55844155844156,0
113,336044,4,,1,1,49.166666666666664,60.30534351145038,41.1764705882353,44.827586206896555,42.622950819672134,1
114,336045,3,,0,1,60.30534351145038,53.389830508474574,64.70588235294117,36.36363636363637,58.44155844155844,0
115,336045,5,,1,0,53.389830508474574,60.30534351145038,35.294117647058826,53.96825396825397,53.7037037037037,1
116,392186,3,,1,0,60.30534351145038,57.93650793650794,45.45454545454545,63.63636363636363,41.55844155844156,0
117,392186,7,,0,1,57.93650793650794,60.30534351145038,54.54545454545455,44.61538461538461,59.42028985507246,1
118,392187,2,,1,1,49.59349593495935,53.389830508474574,50.0,52.72727272727273,42.30769230769231,0
119,392187,5,,0,0,53.389830508474574,49.59349593495935,50.0,46.03174603174603,53.7037037037037,1
120,392188,6,,1,0,41.1764705882353,49.166666666666664,43.75,41.07142857142857,68.62745098039215,0
121,392188,4,,0,1,49.166666666666664,41.1764705882353,56.25,55.172413793103445,42.622950819672134,1
122,392189,8,,0,0,38.666666666666664,51.282051282051285,22.22222222222222,55.81395348837209,58.13953488372093,0
123,392189,1,,1,1,51.282051282051285,38.666666666666664,77.77777777777777,53.96825396825397,45.45454545454545,1
124,392190,2,,0,0,49.59349593495935,60.30534351145038,36.8421052631579,47.27272727272727,57.69230769230769,0
125,392190,3,,1,1,60.30534351145038,49.59349593495935,63.1578947368421,63.63636363636363,58.44155844155844,1
126,392191,4,,0,1,49.166666666666664,51.282051282051285,35.294117647058826,55.172413793103445,42.622950819672134,0
127,392191,1,,1,0,51.282051282051285,49.166666666666664,64.70588235294117,53.96825396825397,54.54545454545455,1
128,392193,2,,0,0,49.59349593495935,38.666666666666664,45.45454545454545,47.27272727272727,57.69230769230769,0
129,392193,8,,1,1,38.666666666666664,49.59349593495935,54.54545454545455,44.18604651162791,41.86046511627907,1
130,392194,3,,0,0,60.30534351145038,41.1764705882353,68.75,36.36363636363637,41.55844155844156,0
131,392194,6,,1,1,41.1764705882353,60.30534351145038,31.25,41.07142857142857,31.372549019607842,1
132,392195,1,,1,0,51.282051282051285,53.389830508474574,40.0,53.96825396825397,54.54545454545455,0
133,392195,5,,0,1,53.389830508474574,51.282051282051285,60.0,46.03174603174603,46.2962962962963,1
134,392196,2,,1,1,49.59349593495935,49.166666666666664,37.5,52.72727272727273,42.30769230769231,0
135,392196,4,,0,0,49.166666666666664,49.59349593495935,62.5,55.172413793103445,57.377049180327866,1
136,392197,8,,1,1,38.666666666666664,57.93650793650794,40.0,44.18604651162791,41.86046511627907,0
137,392197,7,,0,0,57.93650793650794,38.666666666666664,60.0,44.61538461538461,40.57971014492754,1
138,392199,2,,1,1,49.59349593495935,41.1764705882353,60.0,52.72727272727273,42.30769230769231,0
139,392199,6,,0,0,41.1764705882353,49.59349593495935,40.0,58.92857142857143,68.62745098039215,1
140,392200,4,,1,1,49.166666666666664,53.389830508474574,40.0,44.827586206896555,42.622950819672134,0
141,392200,5,,0,0,53.389830508474574,49.166666666666664,60.0,46.03174603174603,53.7037037037037,1
142,392201,3,,0,1,60.30534351145038,38.666666666666664,60.0,36.36363636363637,58.44155844155844,0
143,392201,8,,1,0,38.666666666666664,60.30534351145038,40.0,44.18604651162791,58.13953488372093,1
144,392202,1,,0,0,51.282051282051285,57.93650793650794,31.25,46.03174603174603,54.54545454545455,0
145,392202,7,,1,1,57.93650793650794,51.282051282051285,68.75,55.38461538461539,59.42028985507246,1
146,392203,6,,1,1,41.1764705882353,53.389830508474574,37.5,41.07142857142857,31.372549019607842,0
147,392203,5,,0,0,53.389830508474574,41.1764705882353,62.5,46.03174603174603,53.7037037037037,1
148,392204,2,,0,0,49.59349593495935,51.282051282051285,50.0,47.27272727272727,57.69230769230769,0
149,392204,1,,1,1,51.282051282051285,49.59349593495935,50.0,53.96825396825397,45.45454545454545,1
150,392205,4,,1,1,49.166666666666664,57.93650793650794,50.0,44.827586206896555,42.622950819672134,0
151,392205,7,,0,0,57.93650793650794,49.166666666666664,50.0,44.61538461538461,40.57971014492754,1
152,392206,8,,0,1,38.666666666666664,41.1764705882353,36.36363636363637,55.81395348837209,41.86046511627907,0
153,392206,6,,1,0,41.1764705882353,38.666666666666664,63.63636363636363,41.07142857142857,68.62745098039215,1
154,392207,3,,0,1,60.30534351145038,53.389830508474574,64.70588235294117,36.36363636363637,58.44155844155844,0
155,392207,5,,1,0,53.389830508474574,60.30534351145038,35.294117647058826,53.96825396825397,53.7037037037037,1
156,392208,1,,0,0,51.282051282051285,57.93650793650794,31.25,46.03174603174603,54.54545454545455,0
