Match_Id,Day,Team_Id,Toss_Won,Bat_First,Win_Percenetage,Opponent_Win_Percentage,Win_Percenetage_Against,Toss_Decision_Win_Percentage,Bat_Decision_Win_Percentage,Match_Won
419153,0,1,0,1,51.51515152,50.35971223,50,44.92753623,43.5483871,1
419154,1,6,1,1,42.10526316,47.01492537,44.44444444,43.75,31.57894737,0
419154,1,4,0,0,47.01492537,42.10526316,55.55555556,59.375,59.42028986,1
419155,0,5,1,0,53.38983051,57.14285714,37.5,53.96825397,53.7037037,0
419155,0,7,0,1,57.14285714,53.38983051,62.5,44.59459459,56.57894737,1
419156,1,8,0,1,38.66666667,50.35971223,54.54545455,55.81395349,41.86046512,0
419156,1,2,1,0,50.35971223,38.66666667,45.45454545,54.09836066,56.4516129,1
419157,1,7,1,1,57.14285714,42.10526316,50,55.40540541,56.57894737,0
419157,1,6,0,0,42.10526316,57.14285714,50,56.25,68.42105263,1
419158,0,3,0,0,60.30534351,51.51515152,62.5,36.36363636,41.55844156,0
419158,0,1,1,1,51.51515152,60.30534351,37.5,55.07246377,43.5483871,1
419159,1,5,1,1,53.38983051,50.35971223,43.75,53.96825397,46.2962963,0
419159,1,2,0,0,50.35971223,53.38983051,56.25,45.90163934,56.4516129,1
419160,1,3,1,1,60.30534351,42.10526316,68.75,63.63636364,58.44155844,0
419160,1,6,0,0,42.10526316,60.30534351,31.25,56.25,68.42105263,1
419161,1,4,0,1,47.01492537,38.66666667,70,59.375,40.57971014,0
419161,1,8,1,0,38.66666667,47.01492537,30,44.18604651,58.13953488,1
419162,1,2,1,0,50.35971223,57.14285714,42.10526316,54.09836066,56.4516129,0
419162,1,7,0,1,57.14285714,50.35971223,57.89473684,44.59459459,56.57894737,1
419163,0,1,0,0,51.51515152,53.38983051,40,44.92753623,56.4516129,0
419163,0,5,1,1,53.38983051,51.51515152,60,53.96825397,46.2962963,1
419164,1,4,0,1,47.01492537,60.30534351,41.17647059,59.375,40.57971014,0
419164,1,3,1,0,60.30534351,47.01492537,58.82352941,63.63636364,41.55844156,1
419165,0,6,0,0,42.10526316,38.66666667,63.63636364,56.25,68.42105263,0
419165,0,8,1,1,38.66666667,42.10526316,36.36363636,44.18604651,41.86046512,1
419166,1,1,0,0,51.51515152,57.14285714,27.77777778,44.92753623,56.4516129,0
419166,1,7,1,1,57.14285714,51.51515152,72.22222222,55.40540541,56.57894737,1
419167,1,2,0,0,50.35971223,57.14285714,42.10526316,45.90163934,56.4516129,0
419167,1,7,1,1,57.14285714,50.35971223,57.89473684,55.40540541,56.57894737,1
419168,1,3,1,1,60.30534351,38.66666667,60,63.63636364,58.44155844,0
419168,1,8,0,0,38.66666667,60.30534351,40,55.81395349,58.13953488,1
419169,1,2,0,0,50.35971223,38.66666667,45.45454545,45.90163934,56.4516129,0
419169,1,8,1,1,38.66666667,50.35971223,54.54545455,44.18604651,41.86046512,1
419170,1,3,1,1,60.30534351,57.14285714,45.45454545,63.63636364,58.44155844,0
419170,1,7,0,0,57.14285714,60.30534351,54.54545455,44.59459459,43.42105263,1
501203,1,3,1,1,60.30534351,51.51515152,62.5,63.63636364,58.44155844,0
501203,1,1,0,0,51.51515152,60.30534351,37.5,44.92753623,56.4516129,1
501204,1,8,0,1,38.66666667,53.38983051,22.22222222,55.81395349,41.86046512,0
501204,1,5,1,0,53.38983051,38.66666667,77.77777778,53.96825397,53.7037037,1
501205,0,9,1,1,42.85714286,50.35971223,0,50,28.57142857,0
501205,0,2,0,0,50.35971223,42.85714286,100,45.90163934,56.4516129,1
501206,1,6,1,1,42.10526316,57.14285714,50,43.75,31.57894737,0
501206,1,7,0,0,57.14285714,42.10526316,50,44.59459459,43.42105263,1
501207,0,10,0,0,26.08695652,47.01492537,50,85,70,0
501207,0,4,1,1,47.01492537,26.08695652,50,40.625,40.57971014,1
501208,1,1,1,1,51.51515152,38.66666667,77.77777778,55.07246377,43.5483871,0
501208,1,8,0,0,38.66666667,51.51515152,22.22222222,55.81395349,58.13953488,1
501209,1,5,0,0,53.38983051,42.10526316,62.5,46.03174603,53.7037037,0
